date,country_code,country,confirmed,suspected,cured,dead
20191201,CN,中国,1,0,0,0
20191202,CN,中国,1,0,0,0
20191203,CN,中国,1,0,0,0
20191204,CN,中国,1,0,0,0
20191205,CN,中国,1,0,0,0
20191206,CN,中国,1,0,0,0
20191207,CN,中国,1,0,0,0
20191208,CN,中国,1,0,0,0
20191209,CN,中国,1,0,0,0
20191210,CN,中国,1,0,0,0
20191211,CN,中国,4,0,0,0
20191212,CN,中国,4,0,0,0
20191213,CN,中国,4,0,0,0
20191214,CN,中国,4,0,0,0
20191215,CN,中国,6,0,0,0
20191216,CN,中国,6,0,0,0
20191217,CN,中国,7,0,0,0
20191218,CN,中国,8,0,0,0
20191219,CN,中国,9,0,0,0
20191220,CN,中国,14,0,0,0
20191221,CN,中国,18,0,0,0
20191222,CN,中国,21,0,0,0
20191223,CN,中国,29,0,0,0
20191224,CN,中国,30,0,0,0
20191225,CN,中国,33,0,0,0
20191226,CN,中国,35,0,0,0
20191227,CN,中国,37,0,0,0
20191228,CN,中国,37,0,0,0
20191229,CN,中国,37,0,0,0
20191230,CN,中国,37,0,0,0
20191231,CN,中国,40,0,0,0
20200101,CN,中国,43,0,0,0
20200102,CN,中国,44,0,0,0
20200103,CN,中国,41,0,0,0
20200104,CN,中国,41,0,0,0
20200105,CN,中国,41,0,0,0
20200106,CN,中国,41,0,0,0
20200107,CN,中国,41,0,0,0
20200108,CN,中国,41,0,0,0
20200109,CN,中国,41,0,0,0
20200110,CN,中国,41,0,2,1
20200111,CN,中国,41,0,6,1
20200112,CN,中国,41,0,7,1
20200113,CN,中国,41,0,7,1
20200114,CN,中国,41,0,7,1
20200115,CN,中国,41,0,12,2
20200116,CN,中国,45,0,15,2
20200116,JP,日本,1,0,0,0
20200116,TH,泰国,1,0,0,0
20200117,CN,中国,62,0,19,2
20200118,CN,中国,198,0,24,3
20200119,CN,中国,275,0,25,4
20200120,CN,中国,291,54,25,6
20200120,JP,日本,1,0,0,0
20200120,KR,韩国,1,0,0,0
20200120,TH,泰国,2,0,0,0
20200121,CN,中国,440,37,25,9
20200121,JP,日本,1,0,0,0
20200121,KR,韩国,1,0,0,0
20200121,TH,泰国,3,0,0,0
20200122,CN,中国,571,393,25,17
20200122,JP,日本,1,0,0,0
20200122,KR,韩国,1,0,0,0
20200122,TH,泰国,3,0,0,0
20200122,US,美国,1,0,0,0
